# kinetic_energy,potential_energy,total_energy,angular_momentum,linear_momentum_x,linear_momentum_y
0.000000000000000000e+00,1.010430000000000291e+03,1.010430000000000291e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.217707500000002163e+00,9.959945850000000291e+02,1.003212292499999990e+03,0.000000000000000000e+00,0.000000000000000000e+00,-2.943000000000000682e+01
2.887083000000000865e+01,9.671237550000000738e+02,9.959945850000000291e+02,0.000000000000000000e+00,0.000000000000000000e+00,-5.886000000000001364e+01
6.495936750000004167e+01,9.238175100000001976e+02,9.887768775000001824e+02,0.000000000000000000e+00,0.000000000000000000e+00,-8.829000000000000625e+01
4.605833282834164777e+01,9.331065651266812893e+02,9.791648979550229797e+02,-2.437706344289762465e-09,1.726563336745812194e-11,-6.935206905875412531e+01
8.729323020166053482e+01,8.846539602533623565e+02,9.719471904550229056e+02,-2.437706344289762465e-09,1.726563336745812194e-11,-9.878206905875414634e+01
5.500002329119288191e+01,9.017756851089719703e+02,9.567757084001648309e+02,-4.648956669694797542e-10,5.269007452568530425e-11,-6.387539249278142961e+01
9.354861080890219682e+01,8.560093900912625031e+02,9.495580009001646431e+02,-4.648956669686327213e-10,5.269007452568530425e-11,-9.330539249278145064e+01
2.701711226530259751e+02,9.857756486394195008e+02,1.255946771292445419e+03,2.032043434228349233e-05,5.510203404668345684e-11,1.712537482781805807e+02
5.068371303950391393e+01,9.350589176361803538e+02,9.857426306756842678e+02,3.237903483714868078e-09,5.587807994089644126e-11,6.785572380674493331e+01
2.747762816269722919e+01,9.060938300755678938e+02,9.335714582382651088e+02,2.887708377974362861e-09,5.421885163059414481e-11,8.803557526189369042e+00
3.321373371278275499e+01,8.925149401842620591e+02,9.257286738970448141e+02,2.835773484088921492e-09,5.366873612189237974e-11,-1.888021391378163116e+01
3.985171651223259204e+01,8.860730422822548462e+02,9.259247587944873885e+02,2.857938114029373589e-09,5.418276938229382722e-11,-3.201354296986125547e+01
4.119711912493011141e+01,8.834535882145555661e+02,9.246507073394857343e+02,2.655065636314804522e-09,5.177469564188186268e-11,-3.735391823530321176e+01
4.214473134620346428e+01,8.821308673296564393e+02,9.242755986758598965e+02,2.717793122443325909e-09,6.133094032634289761e-11,-4.005059689972568293e+01
4.268943756798401523e+01,8.814653888644227209e+02,9.241548264324067077e+02,1.962072819429623582e-09,9.192979710803683702e-11,-4.140733179316860912e+01
